"ranking","champion","reason"
"1","コグ＝マウ","ADCのDiamondランクでwin↓ pick↓ ban↓。他ランク帯と比較して、Master帯ではwin↓ pick↓ ban↓、Challenger帯ではwin↓ pick↓ ban↓と全体的に下降トレンドが見られます。"
"2","ザイラ","SUPのMasterランクでwin↑ pick↓ ban↑。他ランク帯と比較して、Diamond帯ではwin↓ pick↓ ban↑、Challenger帯ではwin↑ pick↑ ban↑と、勝率の上昇・下降が混在しています。"
"3","マスター・イー","JGのMasterランクでwin↑ pick↑ ban↑。他ランク帯と比較して、Diamond帯ではwin↑ pick↓ ban↑、Challenger帯ではwin↑ pick↑ ban↑と、全体的に上昇トレンドが見られます。"
"4","ミス・フォーチュン","ADCのMasterランクでwin↓ pick↓ ban↓。他ランク帯と比較して、Diamond帯ではwin↓ pick↓ ban↓、Challenger帯ではwin↓ pick↓ ban↓と、全体的に下降トレンドが見られます。"
"5","ケイトリン","ADCのMasterランクでwin↑ pick↑ ban↑。他ランク帯と比較して、Diamond帯ではwin↑ pick↑ ban↑、Challenger帯ではwin↑ pick↑ ban↑と、全体的に上昇トレンドが見られます。"
"6","レル","SUPのMasterランクでwin↓ pick↓ ban↓。他ランク帯と比較して、Diamond帯ではwin↓ pick↓ ban↓、Challenger帯ではwin↓ pick↓ ban↓と、全体的に下降トレンドが見られます。"
"7","ザイラ","SUPのMasterランクでwin↑ pick↓ ban↑。他ランク帯と比較して、Diamond帯ではwin↓ pick↓ ban↑、Challenger帯ではwin↑ pick↑ ban↑と、勝率の上昇・下降が混在しています。"
"8","ヘカリム","JGのMasterランクでwin↑ pick↑ ban↑。他ランク帯と比較して、Diamond帯ではwin↑ pick↑ ban↑、Challenger帯ではwin↓ pick↓ ban↑と、勝率の下降が見られます。"
"9","ナサス","TOPのMasterランクでwin↓ pick↑ ban↑。他ランク帯と比較して、Diamond帯ではwin↑ pick↑ ban↑、Challenger帯ではwin↓ pick↑ ban↑と、勝率の下降が見られます。"
"10","ユーミ","SUPのMasterランクでwin↑ pick↑ ban↓。他ランク帯と比較して、Diamond帯ではwin↑ pick↑ ban↓、Challenger帯ではwin↑ pick↑ ban↓と、全体的に上昇トレンドが見られます。"
"11","コグ＝マウ","ADCのMasterランクでwin↓ pick↓ ban↓。他ランク帯と比較して、Diamond帯ではwin↓ pick↓ ban↓、Challenger帯ではwin↓ pick↓ ban↓と全体的に下降トレンドが見られます。"
"12","ザイラ","SUPのChallengerランクでwin↑ pick↑ ban↑。他ランク帯と比較して、Master帯ではwin↑ pick↓ ban↑、Diamond帯ではwin↓ pick↓ ban↑と、勝率の上昇・下降が混在しています。"
"13","ケイトリン","ADCのDiamondランクでwin↑ pick↑ ban↑。他ランク帯と比較して、Master帯ではwin↑ pick↑ ban↑、Challenger帯ではwin↑ pick↑ ban↑と、全体的に上昇トレンドが見られます。"
"14","ゼド","JGのMasterランクでwin↑ pick↓ ban↑。他ランク帯と比較して、Diamond帯ではwin↑ pick↓ ban↑、Challenger帯ではwin↑ pick↓ ban↑と、全体的に上昇トレンドが見られます。"
"15","シヴァーナ","JGのMasterランクでwin↑ pick↓ ban↓。他ランク帯と比較して、Diamond帯ではwin↑ pick↓ ban↓、Challenger帯ではwin↑ pick↑ ban↓と、勝率の上昇・下降が混在しています。"
