"ranking","champion","reason"
"1","ケイル","MIDのChallengerランクでwin↑ pick↑ ban↓。他ランク帯では、Legendaryランクでwin↓ pick↑ ban↑、TOPレーンではwin↓ pick↓ ban↑と、全体的に異なる傾向が見られます。"
"2","フィズ","JGのChallengerランクでwin↑ pick↑ ban↓。他ランク帯では、JGのLegendaryランクでwin↑ pick↓ ban↓、MIDのEmeraldランクでwin↑ pick↑ ban↑と、レーンやランク帯によって傾向が異なります。"
"3","カサディン","MIDのEmeraldランクでwin↑ pick↓ ban↓。他ランク帯では、MIDのChallengerランクでwin↑ pick↓ ban↑、MIDのLegendaryランクでwin↓ pick↑ ban↓と、ランク帯によって勝率とピック率の傾向が逆転しています。"
"4","セラフィーン","MIDのEmeraldランクでwin↑ pick↓ ban↓。他ランク帯では、MIDのChallengerランクでwin↑ pick↓ ban↑、MIDのLegendaryランクでwin↓ pick↑ ban↓と、ランク帯によって勝率とピック率の傾向が異なります。"
"5","パンテオン","TOPのEmeraldランクでwin↑ pick↑ ban↑。他ランク帯では、TOPのLegendaryランクでwin↑ pick↓ ban↓と、ピック率とバン率の傾向が異なります。"
"6","ラカン","SUPのEmeraldランクでwin↓ pick↓ ban↑。他ランク帯では、SUPのLegendaryランクでwin↑ pick↓ ban↑と、勝率の傾向が逆転しています。"
"7","ノーチラス","JGのEmeraldランクでwin↓ pick↑ ban↓。他ランク帯では、JGのLegendaryランクでwin↓ pick↓ ban↓と、ピック率の傾向が異なります。"
"8","スモルダー","MIDのEmeraldランクでwin↓ pick↓ ban↑。他ランク帯では、TOPのEmeraldランクでwin↓ pick↓ ban↑と、レーンによって勝率の傾向は同じですが、ピック率とバン率の傾向が異なります。"
"9","ゾーイ","MIDのChallengerランクでwin↑ pick↓ ban↓。他ランク帯では、MIDのLegendaryランクでwin↓ pick↑ ban↓と、勝率とピック率の傾向が逆転しています。"
"10","ダイアナ","MIDのChallengerランクでwin↑ pick↓ ban↑。他ランク帯では、MIDのLegendaryランクでwin↓ pick↓ ban↑、MIDのEmeraldランクでwin↓ pick↓ ban↓と、ランク帯によって勝率とピック率の傾向が異なります。"
"11","オレリオン・ソル","MIDのEmeraldランクでwin↑ pick↑ ban↑。他ランク帯では、MIDのChallengerランクでwin↑ pick↓ ban↑、MIDのLegendaryランクでwin↓ pick↑ ban↓と、ランク帯によって傾向が異なります。"
"12","ブリッツクランク","SUPのLegendaryランクでwin↑ pick↑ ban↓。他ランク帯では、SUPのEmeraldランクでwin↓ pick↓ ban↑と、勝率とピック率の傾向が逆転しています。"
"13","ノラ","MIDのLegendaryランクでwin↑ pick↑ ban↓。他ランク帯では、MIDのChallengerランクでwin↑ pick↓ ban↑、MIDのEmeraldランクでwin↓ pick↑ ban↓と、ランク帯によって傾向が異なります。"
"14","フィズ","JGのLegendaryランクでwin↑ pick↓ ban↓。他ランク帯では、JGのChallengerランクでwin↑ pick↑ ban↓、MIDのEmeraldランクでwin↑ pick↑ ban↑と、レーンやランク帯によって傾向が異なります。"
"15","カ＝ジックス","JGのLegendaryランクでwin↓ pick↑ ban↑。他ランク帯では、JGのEmeraldランクでwin↓ pick↑ ban↓と、バン率の傾向が異なります。"
